zone,town,signif,ntotal_Winter,ntotal_Summer,n_Winter,n_Summer,p_Winter,p_Summer,moe_Winter,moe_Summer,nlow_Winter,nlow_Summer,plow_Winter,plow_Summer,nhigh_Winter,nhigh_Summer,phigh_Winter,phigh_Summer,balance
16,16 - Adelaide,NA,853,853,260,227,0.29213483146067415,0.2661195779601407,0.029876382440374008,0.02965736893563161,223.70645701431604,201.70226429790623,0.26225844902030016,0.23646220902450907,274.6755654575941,252.29773570209375,0.32201121390104814,0.2957769468957723,No significant difference (winter slightly higher)
17,17 - Sydney RO,NA,333,333,73,82,0.21282798833819241,0.24624624624624625,0.04331698327495625,0.04627362343142139,56.44716468605764,66.59088339733668,0.16951100506323616,0.19997262281482486,85.2962755471785,97.40911660266332,0.25614497161314864,0.29251986967766763,No significant difference (summer slightly higher)
18,18 - Nowra,NA,77,77,17,17,0.22077922077922077,0.22077922077922077,0.09264459123715547,0.09264459123715547,9.866366474739026,9.866366474739026,0.12813462954206528,0.12813462954206528,24.133633525260972,24.133633525260972,0.31342381201637626,0.31342381201637626,No significant difference (winter slightly higher)
19,19 - Charleville,NA,39,39,5,4,0.11904761904761904,0.10256410256410256,0.09794178164906228,0.09521890407822718,0.8231276585437136,0.28646274094913976,0.02110583739855676,0.007345198485875379,8.462586627170571,7.7135372590508595,0.21698940069668132,0.19778300664232973,No significant difference (winter slightly higher)
20,20 - Wagga,NA,78,78,28,25,0.3373493975903614,0.32051282051282054,0.10171834682740133,0.10356716934625206,18.379221959510886,16.921760790992344,0.2356310507629601,0.2169456511665685,34.24728406458549,33.07823920900766,0.43906774441776275,0.4240799898590726,No significant difference (winter slightly higher)
21,21 - Melbourne RO,NA,796,796,198,201,0.23130841121495327,0.25251256281407036,0.028248212154456977,0.030181650194578233,161.63591845215507,176.97540644511574,0.2030601990604963,0.22233091261949212,206.60707220205057,225.0245935548843,0.25955662336941027,0.2826942130086486,No significant difference (summer slightly higher)
22,22 - East Sale,NA,68,68,21,20,0.2916666666666667,0.29411764705882354,0.10499099755646307,0.10829996563472584,12.693945499493847,12.635602336838645,0.1866756691102036,0.1858176814240977,26.972721167172825,27.364397663161355,0.39665766422312976,0.40241761269354936,No significant difference (summer slightly higher)
23,23 - Launceston (Ti Tree Bend),NA,45,45,14,11,0.2978723404255319,0.24444444444444444,0.13074656030762755,0.12556630129914584,7.520660105305696,5.349516441538437,0.16712578011790435,0.1188781431452986,19.287850532992174,16.650483558461563,0.42861890073315945,0.3700107457435903,No significant difference (winter slightly higher)
24,24 - Canberra,NA,263,263,63,85,0.22419928825622776,0.3231939163498099,0.04876352733826886,0.05652517461645655,46.13960512142319,70.13387907587192,0.1754357609179589,0.2666687417333533,71.78922050135262,99.86612092412807,0.27296281559449664,0.37971909096626644,No significant difference (summer slightly higher)
26,26 - Hobart,NA,158,158,54,37,0.32926829268292684,0.23417721518987342,0.07192560469248764,0.06603344999902985,40.66014470248939,26.566714900153283,0.2573426879904392,0.16814376519084356,63.38863578531549,47.433285099846714,0.4011938973754145,0.30021066518890327,No significant difference (winter slightly higher)
27,27 - Mildura,NA,88,88,24,13,0.26666666666666666,0.14772727272727273,0.09136290410726654,0.07413689124772353,15.42673110522721,6.47595357020033,0.1753037625594001,0.0735903814795492,31.50660222810612,19.52404642979967,0.3580295707739332,0.22186416397499625,No significant difference (winter slightly higher)
28,28 - Richmond RAAF,NA,800,800,198,205,0.2391304347826087,0.25625,0.02905450200620674,0.030252168052471873,168.06074622112158,180.79826555802248,0.21007593277640196,0.2259978319475281,214.54794943105236,229.2017344419775,0.26818493678881544,0.28650216805247186,No significant difference (summer slightly higher)
32,32 - Cairns,NA,94,94,10,16,0.10526315789473684,0.1702127659574468,0.06171349271408382,0.07597515305037753,4.093668526981383,8.858335613264511,0.043549665180653015,0.09423761290706928,15.695805157229142,23.14166438673549,0.16697665060882066,0.24618791900782433,No significant difference (summer slightly higher)
35,35 - Mackay,NA,54,54,7,7,0.12727272727272726,0.12962962962962962,0.0880808862604012,0.08959079297815883,2.1163594146656073,2.1620971791794226,0.03919184101232606,0.04003883665147079,11.629095130788937,11.837902820820577,0.21535361353312846,0.21922042260778846,No significant difference (summer slightly higher)
36,36 - Gladstone,NA,122,122,23,37,0.184,0.30327868852459017,0.06792897410678303,0.08156928401263486,14.16066515897247,27.04854735045855,0.11607102589321697,0.2217094045119553,30.735334841027534,46.95145264954145,0.25192897410678305,0.384847972537225,No significant difference (summer slightly higher)
39,39 - Mt Isa,NA,8,8,1,1,0.125,0.125,0.2291765149399039,0.2291765149399039,-0.8334121195192312,-0.8334121195192312,-0.1041765149399039,-0.1041765149399039,2.833412119519231,2.833412119519231,0.3541765149399039,0.3541765149399039,No significant difference (winter slightly higher)
44,44 - Kalgoorlie,NA,31,31,9,6,0.2903225806451613,0.1935483870967742,0.15978872291433818,0.13907823166541247,4.046549589655517,1.6885748183722131,0.13053385773082313,0.054470155431361716,13.953450410344484,10.311425181627786,0.45011130355949946,0.3326266187621867,No significant difference (winter slightly higher)
46,46 - Cobar,NA,8,8,2,2,0.25,0.25,0.3000624934909393,0.3000624934909393,-0.4004999479275142,-0.4004999479275142,-0.050062493490939275,-0.050062493490939275,4.400499947927514,4.400499947927514,0.5500624934909393,0.5500624934909393,No significant difference (winter slightly higher)
47,47 - Bickley,NA,14,14,5,3,0.3333333333333333,0.21428571428571427,0.23856360282447234,0.21494185260204676,1.3267762271240537,-0.00918593642865484,0.09476973050886098,-6.561383163324885e-4,8.006557106209279,6.009185936428654,0.5718969361578057,0.42922756688776104,No significant difference (winter slightly higher)
48,48 - Dubbo,NA,33,33,7,6,0.2,0.18181818181818182,0.1325201871414314,0.13159599399245026,2.226833824332764,1.6573321982491418,0.0674798128585686,0.05022218782573157,10.973166175667236,10.342667801750858,0.3325201871414314,0.3134141758106321,No significant difference (winter slightly higher)
49,49 - Katanning,NA,6,6,3,3,0.5,0.5,0.40008332465458574,0.40008332465458574,0.5995000520724856,0.5995000520724856,0.09991667534541426,0.09991667534541426,5.400499947927514,5.400499947927514,0.9000833246545857,0.9000833246545857,No significant difference (winter slightly higher)
50,50 - Oakey,NA,111,111,30,29,0.2564102564102564,0.26126126126126126,0.07912205025298395,0.08172925277490813,19.67899088345724,19.9280529419852,0.17728820615727242,0.17953200848635315,37.24408603961968,38.0719470580148,0.33553230666324035,0.34299051403616937,No significant difference (summer slightly higher)
52,52 - Swanbourne,NA,117,117,23,21,0.19008264462809918,0.1794871794871795,0.0699125224406301,0.06953805555275425,14.059904295933881,12.864047500327754,0.12017012218746907,0.10994912393442524,30.419434547041323,29.135952499672246,0.25999516706872927,0.24902523503993373,No significant difference (winter slightly higher)
53,53 - Ceduna,NA,9,9,2,3,0.2222222222222222,0.3333333333333333,0.27161661029914536,0.3079842869168074,-0.4445494926923083,0.2281414177487332,-0.049394388076923146,0.02534904641652591,4.444549492692308,5.771858582251267,0.49383883252136757,0.6413176202501407,No significant difference (summer slightly higher)
54,54 - Mandurah,NA,184,184,53,39,0.2760416666666667,0.21195652173913043,0.06323384105170425,0.05905349984621118,39.156639913153086,28.134156028297145,0.21280782561496242,0.15290302189291927,62.42669342018026,49.86584397170285,0.33927550771837095,0.2710100215853416,No significant difference (winter slightly higher)
55,55 - Esperance,NA,4,4,2,2,0.5,0.5,0.49,0.49,0.040000000000000036,0.040000000000000036,0.010000000000000009,0.010000000000000009,3.96,3.96,0.99,0.99,No significant difference (winter slightly higher)
56,56 - Mascot (Sydney AP),NA,2039,2039,516,525,0.24078394773681755,0.2574791564492398,0.018102620293026613,0.018978977982524337,454.0472266578897,486.3018638936328,0.22268132744379093,0.23850017846671545,527.8697122128523,563.6981361063671,0.25888656802984417,0.27645813443176415,No significant difference (summer slightly higher)
58,58 - Albany,NA,12,12,4,3,0.26666666666666666,0.25,0.22379249648163246,0.245,0.5144900422204104,0.06000000000000005,0.0428741701850342,0.0050000000000000044,5.88550995777959,5.9399999999999995,0.4904591631482991,0.495,No significant difference (winter slightly higher)
59,59 - Mt Lofty,NA,21,21,7,6,0.30434782608695654,0.2857142857142857,0.18804999606261671,0.19321835661585918,2.442254430511136,1.942414511066957,0.11629783002433983,0.09249592909842652,10.34035426514104,10.057585488933043,0.4923978221495733,0.4789326423301449,No significant difference (winter slightly higher)
60,60 - Tullamarine (Melbourne AP),NA,844,844,197,226,0.2215973003374578,0.2677725118483412,0.02730169371561657,0.02987382678529987,163.98549198883399,200.7864901932069,0.19429560662184123,0.23789868506304135,210.0707509807948,251.21350980679307,0.2488989940530744,0.2976463386336411,No significant difference (summer slightly higher)
61,61 - Mt Gambier,NA,25,25,7,7,0.2692307692307692,0.28,0.1704990132476849,0.17600756347384622,2.468293899577108,2.599810913153845,0.09873175598308431,0.10399243652615381,10.993244561961353,11.400189086846156,0.4397297824784541,0.45600756347384624,No significant difference (summer slightly higher)
62,62 - Moorabbin,✅,1287,1287,319,383,0.23717472118959107,0.2975912975912976,0.022732210385487124,0.02497881624881409,275.9875114048818,350.85226348777627,0.21444251080410395,0.2726124813424835,334.5002209371257,415.14773651222373,0.2599069315750782,0.3225701138401117,More suffering in summer
63,63 - Warrnambool,NA,31,31,9,11,0.28125,0.3548387096774194,0.1557816417999085,0.16843210293961564,3.8895191042028365,5.778604808871916,0.1254683582000915,0.18640660673780374,13.547980895797163,16.221395191128085,0.4370316417999085,0.523270812617035,No significant difference (summer slightly higher)
64,64 - Cape Otway,NA,28,28,5,1,0.16666666666666666,0.03571428571428571,0.13336110821819525,0.06873863542433759,0.9325556365571995,-0.9246817918814525,0.03330555844847141,-0.03302434971005187,8.400777696776132,2.9246817918814525,0.3000277748848619,0.1044529211386233,No significant difference (winter slightly higher)
65,65 - Orange,NA,49,49,13,15,0.24074074074074073,0.30612244897959184,0.11403260251264788,0.1290467404644139,6.2086987731765495,8.67670971724372,0.12670813822809285,0.17707570851517795,17.38389381941604,21.323290282756282,0.3547733432533886,0.43516918944400573,No significant difference (summer slightly higher)
66,66 - Ballarat,NA,239,239,46,65,0.18110236220472442,0.2719665271966527,0.04736047830129514,0.05641447129756894,31.9643102529196,51.516941359881024,0.13374188390342928,0.21555205589908377,54.60261888093868,78.48305864011897,0.22846284050601956,0.32838099849422164,No significant difference (summer slightly higher)
67,67 - Low Head,NA,53,53,16,5,0.2857142857142857,0.09433962264150944,0.11832159566199232,0.0786951355572759,8.87181257277155,0.8291578154643774,0.16739269005229337,0.015644487084233535,21.413901712942735,9.170842184535623,0.404035881376278,0.17303475819878533,No significant difference (winter slightly higher)
68,68 - Launceston AP,NA,20,20,8,4,0.36363636363636365,0.2,0.20101620120778577,0.17530772943598355,3.2524032485715577,0.4938454112803292,0.16262016242857788,0.02469227056401646,11.293051296882988,7.506154588719671,0.5646525648441494,0.37530772943598356,No significant difference (winter slightly higher)
