zone,season,signif,ntotal,n,p,moe,nlow,plow,nhigh,phigh
11,Summer,✅,95,37,0.3894736842105263,0.09805856247015539,27.68443656533524,0.29141512174037093,46.31556343466476,0.4875322466806817
12,Winter,❌,13,5,0.3333333333333333,0.23856360282447234,1.2320064966151927,0.09476973050886098,7.434660170051474,0.5718969361578057
12,Summer,❌,13,4,0.3076923076923077,0.25089516567725745,0.7383628461956534,0.05679714201505026,7.261637153804347,0.5585874733695652
13,Winter,❌,839,224,0.2571756601607348,0.029027189512047573,191.41656687424856,0.2281484706486872,240.1241908754644,0.28620284967278237
13,Summer,❌,839,183,0.21811680572109654,0.027944130105107184,159.55487484181506,0.19017267561598936,206.44512515818494,0.24606093582620372
14,Winter,❌,58,16,0.2711864406779661,0.11344158165376633,9.149201823403587,0.15774485902419977,22.308425295240482,0.38462802233173243
14,Summer,❌,58,16,0.27586206896551724,0.11502671510742453,9.328450523769378,0.16083535385809272,22.67154947623062,0.39088878407294175
15,Winter,❌,396,111,0.2707317073170732,0.04301078507871203,90.17748520639101,0.22772092223836116,124.24202698873094,0.3137424923957852
15,Summer,❌,396,123,0.3106060606060606,0.045577150737585156,104.95144830791628,0.26502890986847544,141.04855169208372,0.3561832113436458
16,Winter,❌,853,260,0.29213483146067415,0.029876382440374008,223.70645701431604,0.26225844902030016,274.6755654575941,0.32201121390104814
16,Summer,❌,853,227,0.2661195779601407,0.02965736893563161,201.70226429790623,0.23646220902450907,252.29773570209375,0.2957769468957723
17,Winter,❌,333,73,0.21282798833819241,0.04331698327495625,56.44716468605764,0.16951100506323616,85.2962755471785,0.25614497161314864
17,Summer,❌,333,82,0.24624624624624625,0.04627362343142139,66.59088339733668,0.19997262281482486,97.40911660266332,0.29251986967766763
18,Winter,❌,77,17,0.22077922077922077,0.09264459123715547,9.866366474739026,0.12813462954206528,24.133633525260972,0.31342381201637626
18,Summer,❌,77,17,0.22077922077922077,0.09264459123715547,9.866366474739026,0.12813462954206528,24.133633525260972,0.31342381201637626
19,Winter,❌,39,5,0.11904761904761904,0.09794178164906228,0.8231276585437136,0.02110583739855676,8.462586627170571,0.21698940069668132
19,Summer,❌,39,4,0.10256410256410256,0.09521890407822718,0.28646274094913976,0.007345198485875379,7.7135372590508595,0.19778300664232973
20,Winter,❌,78,28,0.3373493975903614,0.10171834682740133,18.379221959510886,0.2356310507629601,34.24728406458549,0.43906774441776275
20,Summer,❌,78,25,0.32051282051282054,0.10356716934625206,16.921760790992344,0.2169456511665685,33.07823920900766,0.4240799898590726
21,Winter,❌,796,198,0.23130841121495327,0.028248212154456977,161.63591845215507,0.2030601990604963,206.60707220205057,0.25955662336941027
21,Summer,❌,796,201,0.25251256281407036,0.030181650194578233,176.97540644511574,0.22233091261949212,225.0245935548843,0.2826942130086486
22,Winter,❌,68,21,0.2916666666666667,0.10499099755646307,12.693945499493847,0.1866756691102036,26.972721167172825,0.39665766422312976
22,Summer,❌,68,20,0.29411764705882354,0.10829996563472584,12.635602336838645,0.1858176814240977,27.364397663161355,0.40241761269354936
23,Winter,❌,45,14,0.2978723404255319,0.13074656030762755,7.520660105305696,0.16712578011790435,19.287850532992174,0.42861890073315945
23,Summer,❌,45,11,0.24444444444444444,0.12556630129914584,5.349516441538437,0.1188781431452986,16.650483558461563,0.3700107457435903
24,Winter,❌,263,63,0.22419928825622776,0.04876352733826886,46.13960512142319,0.1754357609179589,71.78922050135262,0.27296281559449664
24,Summer,❌,263,85,0.3231939163498099,0.05652517461645655,70.13387907587192,0.2666687417333533,99.86612092412807,0.37971909096626644
